	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL6929313478	2	0	0	0	0	0	0	0	0	0	32	32	L2V3	34	5	46	32	2	0	2	0	28	4	R13	2009-03-25	non_curated
MODEL6960055446	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	48	87	0	0	48	0	33	15	0	4	R13	2009-03-25	non_curated
MODEL6962035527	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	89	168	0	0	89	0	74	15	0	12	R13	2009-03-25	non_curated
MODEL6963432821	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	26	45	0	0	26	0	19	7	0	9	R13	2009-03-25	non_curated
MODEL6964793701	1	0	0	0	0	0	0	0	0	0	42	42	L2V1	42	71	0	42	0	0	0	0	58	0	R13	2009-03-25	non_curated
MODEL7434234848	3	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	264	0	0	0	0	255	0	R13	2009-03-25	non_curated
MODEL7743212613	2	0	0	0	0	0	0	0	0	0	8	8	L2V3	8	41	0	8	0	0	0	0	10	0	R13	2009-03-25	non_curated
MODEL7743315447	2	0	0	0	0	0	0	0	0	0	10	10	L2V3	10	40	0	10	0	0	0	0	12	0	R13	2009-03-25	non_curated
MODEL7743358405	2	0	0	0	0	0	0	0	0	0	12	12	L2V3	12	37	0	12	0	0	0	0	14	0	R13	2009-03-25	non_curated
MODEL7743386835	2	0	0	0	0	0	0	0	0	0	24	24	L2V3	24	31	0	24	0	0	0	0	24	0	R13	2009-03-25	non_curated
MODEL7743444866	2	0	1	1	1	3	0	1	0	0	24	24	L2V3	27	100	0	24	0	0	0	0	24	0	R13	2009-03-25	non_curated
MODEL7743528808	2	0	1	1	1	3	0	1	0	0	29	29	L2V3	32	100	0	29	0	0	0	0	29	0	R13	2009-03-25	non_curated
MODEL7743576806	2	0	1	1	1	3	0	1	0	0	33	33	L2V3	36	100	0	33	0	0	0	0	34	0	R13	2009-03-25	non_curated
MODEL7743608569	2	0	1	1	1	3	0	1	0	0	41	41	L2V3	44	95	0	41	0	0	0	0	43	0	R13	2009-03-25	non_curated
MODEL7743631122	2	0	1	1	1	3	0	1	0	0	53	53	L2V3	56	90	0	53	0	0	0	0	54	0	R13	2009-03-25	non_curated
MODEL7743656488	2	0	1	1	1	3	0	1	0	0	57	57	L2V3	60	88	0	57	0	0	0	0	60	0	R13	2009-03-25	non_curated
MODEL7814665196	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	102	188	0	0	102	0	67	35	0	23	R13	2009-03-25	non_curated
MODEL7817907010	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	38	100	0	0	38	0	29	9	0	15	R13	2009-03-25	non_curated
MODEL7888000034	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	37	70	0	0	37	0	20	17	0	4	R13	2009-03-25	non_curated
MODEL7889395724	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	26	48	0	0	26	0	18	8	0	13	R13	2009-03-25	non_curated
MODEL7889980156	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	94	166	0	0	94	0	83	11	0	20	R13	2009-03-25	non_curated
MODEL7891585309	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	16	49	0	0	16	0	12	4	0	6	R13	2009-03-25	non_curated
MODEL7893871775	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	138	250	0	0	138	0	116	22	0	20	R13	2009-03-25	non_curated
MODEL7896869925	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	9	31	0	0	9	0	4	5	0	8	R13	2009-03-25	non_curated
MODEL7898438988	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	5	12	0	0	5	0	2	3	0	6	R13	2009-03-25	non_curated
MODEL7907879432	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	27	56	0	0	27	0	20	7	0	9	R13	2009-03-25	non_curated
MODEL7908934508	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	11	22	0	0	11	0	7	4	0	7	R13	2009-03-25	non_curated
MODEL7909395757	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	21	35	0	0	21	0	18	3	0	1	R13	2009-03-25	non_curated
MODEL7909987998	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	3	16	0	0	3	0	0	3	0	2	R13	2009-03-25	non_curated
MODEL7910499126	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	90	170	0	0	90	0	71	19	0	24	R13	2009-03-25	non_curated
MODEL7914464799	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	195	371	0	0	195	0	150	45	0	29	R13	2009-03-25	non_curated
MODEL7914759868	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	105	217	0	0	105	0	74	31	0	20	R13	2009-03-25	non_curated
MODEL7980735163	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	47	150	0	0	47	0	31	16	0	9	R13	2009-03-25	non_curated
MODEL8237240421	1	0	0	0	0	0	0	0	0	0	14	14	L2V3	14	21	0	14	0	0	0	0	6	2	R13	2009-03-25	non_curated
MODEL8262229752	1	0	0	0	0	0	0	0	0	0	25	25	L2V1	25	25	0	25	0	0	0	0	21	2	R13	2009-03-25	non_curated
MODEL8305195207	1	0	0	0	0	0	0	0	0	0	8	8	L2V3	8	12	0	8	0	0	0	0	12	0	R13	2009-03-25	non_curated
MODEL8306015773	1	0	0	0	0	0	0	0	0	0	24	24	L2V3	24	37	0	24	0	0	0	0	12	0	R13	2009-03-25	non_curated
MODEL8306248909	1	0	0	0	0	0	0	0	0	0	8	8	L2V3	8	16	0	8	0	0	0	0	5	0	R13	2009-03-25	non_curated
MODEL8478881246	1	0	0	0	0	0	0	0	0	0	69	69	L2V1	69	3	98	69	0	0	0	0	32	5	R13	2009-03-25	non_curated
MODEL8568434338	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	219	0	0	0	0	225	0	R13	2009-03-25	non_curated
MODEL8583955822	1	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	49	11	0	0	0	0	12	3	R13	2009-03-25	non_curated
MODEL8584137422	1	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	49	11	0	0	0	0	12	3	R13	2009-03-25	non_curated
MODEL8584292730	1	0	0	0	0	0	0	0	0	0	15	15	L2V1	15	0	70	15	0	0	0	0	13	3	R13	2009-03-25	non_curated
MODEL8584468482	1	0	0	0	0	0	0	0	0	0	14	14	L2V1	14	0	66	14	0	0	0	0	13	3	R13	2009-03-25	non_curated
MODEL8938094216	1	0	0	0	0	0	0	0	0	0	16	16	L2V1	18	16	0	16	2	0	2	0	15	1	R13	2009-03-25	non_curated
MODEL9070467164	3	0	0	0	0	0	0	0	0	0	99	99	L2V1	102	0	169	99	3	0	3	0	94	4	R13	2009-03-25	non_curated
MODEL9071122126	2	0	0	0	0	0	0	0	0	0	65	65	L2V1	66	0	108	65	1	0	1	0	64	3	R13	2009-03-25	non_curated
MODEL9071773985	2	0	0	0	0	0	0	0	0	0	82	82	L2V1	83	0	139	82	1	0	1	0	73	4	R13	2009-03-25	non_curated
MODEL9077438479	2	0	0	0	0	0	0	0	0	0	23	23	L2V1	23	0	43	23	0	0	0	0	29	5	R13	2009-03-25	non_curated
MODEL9079179924	2	0	0	0	0	0	0	0	0	0	81	81	L2V1	82	0	136	81	1	0	1	0	81	3	R13	2009-03-25	non_curated
MODEL9079740062	2	0	0	0	0	0	0	0	0	0	23	23	L2V1	23	0	43	23	0	0	0	0	29	5	R13	2009-03-25	non_curated
MODEL9080388197	2	0	0	0	0	0	0	0	0	0	10	10	L2V1	11	0	20	10	1	0	1	0	15	3	R13	2009-03-25	non_curated
MODEL9080747936	2	0	0	0	0	0	0	0	0	0	51	51	L2V1	54	0	84	51	3	0	3	0	50	19	R13	2009-03-25	non_curated
MODEL9081220742	3	0	0	0	0	0	0	0	0	0	196	196	L2V1	200	0	337	196	4	0	4	0	188	5	R13	2009-03-25	non_curated
MODEL9085850385	2	0	0	0	0	0	0	0	0	0	58	58	L2V1	58	0	94	58	0	0	0	0	59	3	R13	2009-03-25	non_curated
MODEL9086207764	4	0	0	0	0	0	0	0	0	0	362	362	L2V1	384	0	570	362	22	0	22	0	284	5	R13	2009-03-25	non_curated
MODEL9086518048	4	0	0	0	0	0	0	0	0	0	367	367	L2V1	389	0	580	367	22	0	22	0	286	5	R13	2009-03-25	non_curated
MODEL9086628127	4	0	0	0	0	0	0	0	0	0	17	17	L2V1	17	0	28	17	0	0	0	0	16	3	R13	2009-03-25	non_curated
MODEL9086926384	3	0	0	0	0	0	0	0	0	0	90	90	L2V1	99	0	148	90	9	0	9	0	85	4	R13	2009-03-25	non_curated
MODEL9086953089	4	0	0	0	0	0	0	0	0	0	117	117	L2V1	126	0	196	117	9	0	9	0	114	5	R13	2009-03-25	non_curated
MODEL9087255381	4	0	0	0	0	0	0	0	0	0	371	371	L2V1	393	0	586	371	22	0	22	0	289	5	R13	2009-03-25	non_curated
MODEL9087474843	4	0	0	0	0	0	0	0	0	0	371	371	L2V1	393	0	586	371	22	0	22	0	290	5	R13	2009-03-25	non_curated
MODEL9087766308	2	0	0	0	0	0	0	0	0	0	2	2	L2V1	2	0	4	2	0	0	0	0	5	3	R13	2009-03-25	non_curated
MODEL9087988095	2	0	0	0	0	0	0	0	0	0	2	2	L2V1	2	0	4	2	0	0	0	0	5	3	R13	2009-03-25	non_curated
MODEL9088169066	2	0	0	0	0	0	0	0	0	0	2	2	L2V1	2	0	4	2	0	0	0	0	5	3	R13	2009-03-25	non_curated
MODEL9088294310	2	0	0	0	0	0	0	0	0	0	2	2	L2V1	2	0	4	2	0	0	0	0	5	3	R13	2009-03-25	non_curated
MODEL9089491423	3	0	0	0	0	0	0	0	0	0	204	204	L2V1	208	0	349	204	4	0	4	0	196	5	R13	2009-03-25	non_curated
MODEL9089538076	3	0	0	0	0	0	0	0	0	0	206	206	L2V1	210	0	353	206	4	0	4	0	200	5	R13	2009-03-25	non_curated
MODEL9089914876	3	0	0	0	0	0	0	0	0	0	202	202	L2V1	206	0	347	202	4	0	4	0	192	5	R13	2009-03-25	non_curated
MODEL9147091146	2	0	0	0	0	0	0	0	0	0	79	79	L2V1	80	0	132	79	1	0	1	0	77	4	R13	2009-03-25	non_curated
MODEL9147232940	2	0	0	0	0	0	0	0	0	0	63	63	L2V1	64	0	104	63	1	0	1	0	64	3	R13	2009-03-25	non_curated
MODEL9147975215	2	0	0	0	0	0	0	0	0	0	29	29	L2V1	29	0	47	29	0	0	0	0	37	3	R13	2009-03-25	non_curated
MODEL9200487367	1	0	0	0	0	0	0	0	0	0	8	8	L2V1	13	9	8	8	5	0	4	1	5	0	R13	2009-03-25	non_curated
MODEL9852292468	1	0	0	0	0	0	0	0	0	0	66	66	L2V1	66	111	0	66	0	0	0	0	73	1	R13	2009-03-25	non_curated
