	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0072364382	15	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	1857	0	0	0	0	2152	0	R29	2015-04-16	non_curated
MODEL0318212660	1	0	0	0	0	0	0	0	0	0	41	41	L2V1	41	55	0	41	0	0	0	0	15	0	R29	2015-04-16	non_curated
MODEL0393108880	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	86	156	0	0	86	0	69	17	0	21	R29	2015-04-16	non_curated
MODEL0403888565	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R29	2015-04-16	non_curated
MODEL0403928902	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R29	2015-04-16	non_curated
MODEL0403954746	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R29	2015-04-16	non_curated
MODEL0403988150	1	0	0	0	0	0	0	0	0	0	806	806	L2V1	816	46	1078	806	10	0	9	1	377	0	R29	2015-04-16	non_curated
MODEL0404023805	1	0	0	0	0	0	0	0	0	0	806	806	L2V1	816	46	1078	806	10	0	9	1	377	0	R29	2015-04-16	non_curated
MODEL0406151557	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	64	122	0	0	64	0	49	15	0	16	R29	2015-04-16	non_curated
MODEL0406270966	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	99	153	0	0	99	0	81	18	0	23	R29	2015-04-16	non_curated
MODEL0406553884	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	166	217	0	0	166	0	125	41	0	38	R29	2015-04-16	non_curated
MODEL0406793751	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	213	298	0	0	213	0	158	55	0	39	R29	2015-04-16	non_curated
MODEL0478740924	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	20	44	0	0	20	0	15	5	0	6	R29	2015-04-16	non_curated
MODEL0478895291	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	25	71	0	0	25	0	9	16	0	6	R29	2015-04-16	non_curated
